domain,html_size,widget_count,widgets,ai_signal,generic_chat_hint
2xist.com,53132,0,,0,0
4ocean.com,1099150,1,Gorgias,0,1
707street.com,1442919,0,,0,1
7bboardshop.com,620518,0,,0,0
abodeliving.com,285041,0,,0,1
absoluteweb.com,456089,2,Gorgias;HubSpot Chat,0,1
activetruth.com,660389,1,Reamaze,0,1
adhocatelier.com,130870,0,,0,1
aetrex.com,648878,1,Zendesk,0,1
aeyla.com,341314,0,,0,1
agjeans.com,988509,0,,0,1
agoodcompany.com,402003,0,,0,0
aimer.com,1058068,0,,0,1
aje.com,376438,0,,0,1
alessi.com,220949,1,Gorgias,0,1
alexandani.com,2097152,0,,0,0
alicemushrooms.com,449670,1,Gorgias,0,1
alivebody.com,1048418,1,Gorgias,0,1
all4cycling.com,1248926,0,,0,0
allbirds.com,1058310,0,,0,1
allermi.com,880149,1,Gorgias,0,1
alleyoop.co,218474,0,,1,1
alliedmedical.com,32331,0,,0,1
aloha.com,1027381,0,,0,1
aloyoga.com,375613,0,,0,1
amazfit.com,782758,0,,1,1
amika.com,3567,0,,0,1
amrhair.com,1449034,0,,0,1
ananday.com,980269,0,,0,1
ancestralsupplements.com,830527,1,Gorgias,0,1
andcollar.com,2097152,0,,0,1
andieswim.com,655050,0,,0,1
angelusdirect.com,1189596,1,Gorgias,0,1
animalsmatter.com,175747,1,Gorgias,0,1
anker.com,1763652,0,,0,1
apothekary.com,193647,0,,0,1
applovin.com,148851,0,,0,1
appointed.com,159693,0,,0,0
apupabove.com,1795482,0,,0,1
aras.com,244160,0,,0,1
arcteryx.com,149464,0,,0,1
arhaus.com,798024,0,,0,1
artoftea.com,453257,2,Gorgias;HubSpot Chat,0,1
asphalte.com,110891,0,,0,0
astrid.com,748861,0,,1,1
ateliercommerce.com,675187,1,Intercom,0,1
athleticgreens.com,509382,0,,0,1
atkinandthyme.com,221954,0,,0,1
attaboy.com,136960,0,,0,1
attitudeliving.com,951592,0,,0,1
audioadvice.com,1933794,1,Zendesk,0,1
august.com,385688,0,,0,1
aurabora.com,780231,0,,0,0
auvodka.com,415306,1,Gorgias,0,1
avara.com,424665,0,,0,1
aviatornation.com,602449,1,Gorgias,0,1
aweinspired.com,1616460,1,Kustomer,0,1
baboontothemoon.com,2097152,1,Gorgias,0,1
babylist.com,202643,1,Zendesk,0,1
babymori.com,1047845,0,,0,1
backyardbutchers.com,932360,1,Gorgias,0,1
badgleymischka.com,420043,0,,0,1
baggu.com,451020,0,,0,0
bala.com,38056,0,,0,0
balanceme.com,424657,1,Gorgias,0,1
balsamhill.com,818188,0,,0,1
bambibaby.com,1300325,1,Gorgias,0,1
bambuearth.com,395017,1,Gorgias,0,1
baredfootwear.com,1652929,0,,0,1
bareminerals.com,857650,1,Gorgias,0,1
bareperformancenutrition.com,751049,1,Gorgias,0,1
bark.com,423244,0,,0,1
batch.com,1573725,0,,0,1
battlbox.com,539613,1,Gorgias,0,1
bauer.com,871070,0,,0,1
bdelliumtools.com,511202,0,,0,1
beam.com,1329,0,,0,0
beard.com,54265,0,,0,0
beardbrand.com,331717,0,,0,1
beautyheroes.com,394323,0,,0,1
beautyofjoseon.com,791197,1,Gorgias,0,1
bedjet.com,306117,1,Gorgias,0,1
beekeepersnaturals.com,639736,0,,0,1
beekman1802.com,747176,1,Gorgias,0,1
beginhealth.com,577691,0,,0,1
beis.com,12315,0,,0,0
belstaff.com,208295,0,,0,1
bev.com,531389,0,,0,1
beyondyoga.com,752913,1,Gorgias,0,1
bhufoods.com,475918,0,,0,1
bimble.com,13556,0,,0,0
biolite.co,582051,0,,0,1
biossance.com,177048,0,,0,1
birchbox.com,127748,0,,0,1
birdandblend.com,585526,1,Gorgias,0,1
bkbeauty.com,245784,0,,0,1
blenderbottle.com,487560,1,Gorgias,0,1
blenderseyewear.com,1828621,0,,0,1
blendjet.com,488793,0,,0,1
bloomers.com,211165,0,,0,1
blueapron.com,634153,0,,0,1
bluebanana.com,508521,0,,0,0
bluebananabrand.com,1818743,1,Gorgias,0,0
blueland.com,447804,0,,0,1
blume.com,408917,1,Gorgias,0,1
boardroomsocks.com,368416,0,,0,1
boatoutfitters.com,558331,0,,0,1
bobochoses.com,1095889,1,Gorgias,0,1
boden.com,995546,0,,0,1
boie.com,50431,0,,0,0
bols.com,176265,0,,0,1
bombas.com,2097152,0,,0,1
bombayshavingcompany.com,1101733,1,Crisp,0,1
bombtech.com,512887,2,Gorgias;Crisp,0,1
bonaventura.com,366542,1,Gorgias,0,1
bondiboost.com,945678,0,,0,1
bonia.com,906156,0,,0,1
bonlook.com,1075723,0,,0,1
boody.com,1255108,1,Gorgias,0,1
borealfolk.com,516628,0,,0,1
bostonproper.com,518873,1,Gorgias,0,1
boxraw.com,696197,0,,0,1
bpisports.com,425604,0,,0,1
branch.com,179501,0,,0,0
brandcollective.com,106603,0,,0,1
brandonblackwood.com,1649917,1,Gorgias,0,1
braunbuffel.com,715726,1,WhatsApp Button,0,1
bravafabrics.com,2097152,0,,0,1
braxleybands.com,1106471,0,,0,1
briogeo.com,499141,0,,0,1
brodo.com,458458,0,,0,1
brooklinen.com,1325283,0,,0,1
brothers.com,23146,0,,0,1
bryght.com,626281,0,,0,1
bubsnaturals.com,566463,1,Gorgias,0,1
buckmason.com,664215,0,,0,1
buddhaboard.com,228503,0,,0,1
budgysmuggler.com,2097152,1,Gorgias,0,0
bulletproof.com,729547,0,,0,1
bullybillows.com,2097152,1,Gorgias,0,1
burrow.com,2097152,0,,0,1
busabout.com,84612,0,,0,1
bushbalm.com,359186,0,,0,0
busybeetools.com,1804308,1,Zendesk,0,1
butcherbox.com,281270,1,Zendesk,0,1
bydee.com,103670,0,,0,0
byltbasics.com,2097152,0,,0,1
cabaia.com,701934,0,,0,1
cabanamagazine.com,1016424,1,Gorgias,0,1
cabaulifestyle.com,1764939,1,Gorgias,0,1
cadenlane.com,1018897,0,,0,1
caitlynminimalist.com,1205742,1,Gorgias,0,1
cambridgesatchel.com,998225,1,Gorgias,0,1
cambridgesatchelcompany.com,44347,0,,0,1
campusprotein.com,56836,1,Gorgias,0,0
canebrew.com,275119,0,,0,1
canncbd.com,255848,0,,0,1
caracara.com,29696,0,,0,0
caraway.com,12224,0,,0,1
carawayhome.com,2097152,0,,0,1
carbahn.com,495637,0,,0,1
careof.co,73470,0,,0,0
cargocrew.com,736835,1,HubSpot Chat,0,1
carpe.com,1083479,0,,0,1
carrier.com,118684,0,,0,1
carters.com,485354,0,,0,1
cartoys.com,1059398,0,,0,1
casadigimedia.com,132381,1,HubSpot Chat,0,1
casely.com,20331,0,,0,0
casio.com,2579,0,,0,0
casper.com,811276,0,,0,1
castaner.com,748184,1,WhatsApp Button,0,1
castore.com,2097152,1,Gorgias,0,0
catoriclothing.com,668185,0,,0,1
ceramicspeed.com,986345,0,,0,1
ceylon.com,200870,0,,0,0
chamberlaincoffee.com,811503,1,Gorgias,0,0
chazdean.com,135084,0,,0,1
cheak.com,566917,1,Gorgias,0,1
cheekywipes.com,93074,1,Tawk.to,0,1
chelseapeers.com,1242812,1,Gorgias,0,1
chewy.com,2484,0,,0,0
chiikawa.com,137664,0,,0,0
chriscotegolf.com,349751,0,,0,1
chubbies.com,731299,0,,0,1
cidercade.com,150179,0,,0,0
circular.com,188282,0,,0,1
circulon.com,1709757,0,,0,1
citybonfires.com,730877,0,,0,1
clearwithin.com,230649,0,,0,1
clivecoffee.com,159604,0,,0,1
clove.com,53028,0,,0,1
coalheadwear.com,1053809,0,,0,1
cocorico.com,72236,0,,0,0
cocunat.com,196396,0,,0,0
coffeebeanery.com,1576658,1,Reamaze,0,1
collarsco.com,62886,1,WhatsApp Button,0,1
colourpop.com,875492,1,Gorgias,0,1
cometeer.com,793682,1,Kustomer,0,1
complexnetworks.com,725029,0,,0,1
coppercowcoffee.com,202619,0,,0,1
coravin.com,561167,0,,0,1
cordings.com,388914,0,,0,1
cordsclub.com,1436350,0,,0,1
corkcicle.com,967703,2,Zendesk;Crisp,0,1
cornbreadhemp.com,843959,1,Gorgias,0,1
corneacare.com,112568,0,,0,1
cosrx.com,640159,0,,0,1
cotopaxi.com,256451,1,Kustomer,0,1
cozey.com,512858,0,,0,1
cozyearth.com,2097152,1,Gorgias,0,1
craftdlondon.com,777651,0,,0,1
craftginclub.com,408705,0,,0,1
cranecanopy.com,519717,0,,0,1
creality.com,257073,0,,0,1
createur.com,143993,0,,0,0
credobeauty.com,903455,0,,0,1
creeksidenursery.com,29236,0,,0,1
crepprotect.com,641645,0,,0,1
criquetshirts.com,639881,1,Gorgias,0,1
crossrope.com,777348,0,,0,1
crownresorts.com,285219,0,,0,0
crua.com,3958,0,,0,0
culturekings.com,1257183,1,Gorgias,0,1
cupofarms.com,55144,0,,0,1
curie.com,315310,2,HubSpot Chat;LiveChat,0,1
curology.com,891288,0,,0,1
currentbody.com,530448,0,,0,1
customink.com,426126,1,Facebook Messenger Plugin,0,1
cutsclothing.com,836411,0,,0,1
cuyana.com,309437,0,,0,1
cykloteket.com,277296,0,,0,0
cynthiarowley.com,240304,0,,0,0
dagnedover.com,741740,0,,0,1
dailyharvest.com,1402059,0,,0,1
daiso.com,71537,0,,0,1
dalfilo.com,737782,0,,0,1
danielwellington.com,537776,1,Gorgias,0,1
daviddonahue.com,547527,0,,0,1
davidsbridal.com,317172,0,,0,1
deathwishcoffee.com,463554,1,Gorgias,0,1
decathlon.com,869568,1,Gorgias,0,1
decked.com,232056,1,HubSpot Chat,0,1
decorsteals.com,318463,1,Gorgias,0,1
delugs.com,1029137,1,Reamaze,0,1
denimtears.com,293844,1,Gorgias,0,1
dermalogica.com,797629,1,Zendesk,0,1
desky.com,923427,1,Reamaze,0,1
deux.co,320129,1,Intercom,0,1
deuxpardeux.com,1540848,1,Gorgias,0,1
dianevonfurstenberg.com,1582348,1,Gorgias,0,1
diff.com,620632,0,,0,1
dime.com,287725,0,,0,1
dkny.com,1081685,1,Olark,0,1
doebeauty.com,341134,0,,0,1
doelashes.com,341134,0,,0,1
dollarshaveclub.com,377597,1,Gorgias,0,1
domu.com,168376,0,,0,1
donaldrussell.com,318856,0,,0,1
doseofcolors.com,379926,0,,0,1
dr-sams.com,88281,0,,0,1
drbronners.com,366755,1,Gorgias,0,1
dressbarn.com,568066,1,Gorgias,0,1
drsquatch.com,574306,0,,0,1
dryeyerescue.com,1117874,1,Gorgias,0,1
dunhill.com,124805,0,,0,1
duradry.com,430344,0,,0,1
easyspirit.com,503955,1,Gorgias,0,1
easystandard.shop,80678,0,,0,0
eaze.com,157273,0,,0,1
ebdenim.com,477696,0,,0,1
ecoflow.com,949319,0,,0,1
edenpark.com,222159,1,HubSpot Chat,0,1
edgardcooper.com,268540,0,,0,1
eightsleep.com,1116097,0,,0,1
ekster.com,826319,1,Gorgias,0,1
eleatcereal.com,548131,1,Gorgias,0,1
elevatedfaith.com,691711,1,Reamaze,0,1
elkspringsresort.com,164584,0,,0,1
ellanacosmetics.com,572145,0,,0,1
emarinella.com,1946143,2,Crisp;WhatsApp Button,0,1
emazinglights.com,1074471,1,Gorgias,0,1
emijay.com,247961,1,Help Scout,0,1
